step_time,reward,total_stopped,total_wait_time
1910.0,4.640000000000001,22,1968.0
1915.0,1.0500000000000007,16,1863.0
1920.0,-0.740000000000002,14,1937.0
1925.0,-0.4299999999999997,17,1980.0
1930.0,-0.9600000000000009,24,2076.0
1935.0,1.7000000000000028,24,1906.0
1940.0,3.9999999999999982,22,1506.0
1945.0,-0.9399999999999995,16,1600.0
1950.0,-0.8599999999999994,19,1686.0
1955.0,1.5599999999999987,17,1530.0
1960.0,3.200000000000001,21,1210.0
1965.0,-0.9800000000000004,21,1308.0
1970.0,-1.1300000000000008,25,1421.0
1975.0,-0.2699999999999996,24,1448.0
1980.0,-0.03999999999999915,31,1452.0
1985.0,-0.6100000000000012,31,1513.0
1990.0,-0.16999999999999993,29,1530.0
1995.0,-1.5299999999999976,33,1683.0
2000.0,-1.9300000000000033,41,1876.0
2005.0,-2.1499999999999986,43,2091.0
2010.0,-1.4299999999999997,40,2234.0
2015.0,-1.1799999999999997,37,2352.0
2020.0,-1.9200000000000017,40,2544.0
2025.0,-2.1899999999999977,45,2763.0
2030.0,-1.2200000000000024,40,2885.0
2035.0,-1.1799999999999997,45,3003.0
2040.0,-2.240000000000002,48,3227.0
2045.0,-2.4399999999999977,50,3471.0
2050.0,-2.259999999999998,49,3697.0
2055.0,-2.5,50,3947.0
2060.0,-2.5600000000000023,52,4203.0
2065.0,-1.3799999999999955,47,4341.0
2070.0,-0.39000000000000057,41,4380.0
2075.0,-0.5,42,4430.0
2080.0,-1.8800000000000026,42,4618.0
2085.0,-1.6499999999999986,38,4783.0
2090.0,-1.6099999999999994,38,4944.0
2095.0,-1.9000000000000057,38,5134.0
2100.0,-1.8999999999999986,38,5324.0
2105.0,-2.030000000000001,44,5527.0
2110.0,-2.049999999999997,42,5732.0
2115.0,-2.1400000000000006,44,5946.0
2120.0,-1.7999999999999972,40,6126.0
2125.0,-1.7600000000000051,41,6302.0
2130.0,-2.1000000000000014,42,6512.0
2135.0,-2.1299999999999955,44,6725.0
2140.0,-2.2099999999999937,45,6946.0
2145.0,-2.410000000000011,50,7187.0
2150.0,-2.25,46,7412.0
2155.0,-2.219999999999999,48,7634.0
2160.0,3.3500000000000085,42,7299.0
2165.0,8.89,35,6410.0
2170.0,13.219999999999992,25,5088.0
2175.0,0.09000000000000341,19,5079.0
2180.0,1.0700000000000003,15,4972.0
2185.0,-0.00999999999999801,19,4973.0
2190.0,-1.3100000000000023,31,5104.0
2195.0,-1.0799999999999983,34,5212.0
2200.0,-0.8900000000000006,32,5301.0
2205.0,3.6099999999999994,29,4940.0
2210.0,8.269999999999996,25,4113.0
2215.0,12.010000000000002,22,2912.0
2220.0,0.08000000000000185,11,2904.0
2225.0,0.41999999999999815,17,2862.0
2230.0,-1.0799999999999983,25,2970.0
2235.0,-1.4299999999999997,33,3113.0
2240.0,-1.3099999999999987,34,3244.0
2245.0,-1.7800000000000011,36,3422.0
2250.0,-1.8500000000000014,37,3607.0
2255.0,-2.039999999999999,42,3811.0
2260.0,-0.8500000000000014,36,3896.0
2265.0,0.4299999999999997,30,3853.0
2270.0,-1.3100000000000023,31,3984.0
2275.0,-1.7199999999999989,37,4156.0
2280.0,3.4299999999999997,37,3813.0
2285.0,8.670000000000002,34,2946.0
2290.0,10.21,27,1925.0
2295.0,6.75,21,1250.0
2300.0,0.27999999999999936,23,1222.0
2305.0,-1.3099999999999987,29,1353.0
2310.0,-1.040000000000001,32,1457.0
2315.0,-1.25,37,1582.0
2320.0,-0.11999999999999922,37,1594.0
2325.0,1.4100000000000001,31,1453.0
2330.0,0.1399999999999988,24,1439.0
2335.0,-1.3499999999999996,29,1574.0
2340.0,-0.4599999999999991,32,1620.0
2345.0,0.5599999999999987,27,1564.0
2350.0,0.5700000000000003,27,1507.0
2355.0,0.9500000000000011,25,1412.0
2360.0,2.889999999999999,24,1123.0
2365.0,-1.1099999999999994,21,1234.0
2370.0,-1.1999999999999993,28,1354.0
2375.0,-1.5700000000000003,34,1511.0
2380.0,-1.1099999999999994,35,1622.0
2385.0,-0.5500000000000007,30,1677.0
2390.0,-1.1600000000000001,33,1793.0
2395.0,-1.9100000000000001,41,1984.0
2400.0,-1.620000000000001,40,2146.0
2405.0,-1.3599999999999994,37,2282.0
2410.0,-1.8500000000000014,39,2467.0
2415.0,0.9300000000000033,33,2374.0
2420.0,4.489999999999998,25,1925.0
2425.0,3.619999999999999,20,1563.0
2430.0,-0.6699999999999999,17,1630.0
2435.0,-0.9800000000000004,23,1728.0
2440.0,0.6000000000000014,24,1668.0
2445.0,1.75,24,1493.0
2450.0,2.0700000000000003,17,1286.0
2455.0,-0.6900000000000013,18,1355.0
2460.0,-1.08,27,1463.0
2465.0,1.3800000000000008,28,1325.0
2470.0,3.6099999999999994,18,964.0
2475.0,2.1100000000000003,15,753.0
2480.0,0.8600000000000003,13,667.0
2485.0,0.3799999999999999,18,629.0
2490.0,0.96,15,533.0
2495.0,1.81,13,352.0
2500.0,0.81,15,271.0
2505.0,-0.9300000000000002,21,364.0
2510.0,-0.23999999999999977,18,388.0
2515.0,0.2799999999999998,15,360.0
2520.0,0.18000000000000016,13,342.0
2525.0,0.31000000000000005,16,311.0
2530.0,-0.8000000000000003,16,391.0
2535.0,-0.8999999999999995,20,481.0
2540.0,0.14999999999999947,18,466.0
2545.0,1.3900000000000001,14,327.0
2550.0,0.10999999999999988,10,316.0
2555.0,0.5500000000000003,11,261.0
2560.0,0.3999999999999999,9,221.0
2565.0,0.32000000000000006,10,189.0
2570.0,-0.030000000000000027,10,192.0
2575.0,-0.1299999999999999,12,205.0
2580.0,-0.6200000000000001,13,267.0
2585.0,-0.6800000000000002,14,335.0
2590.0,0.41000000000000014,8,294.0
2595.0,1.01,9,193.0
2600.0,0.71,4,122.0
2605.0,0.84,2,38.0
2610.0,-0.21999999999999997,9,60.0
2615.0,-0.45000000000000007,9,105.0
2620.0,-0.010000000000000009,7,106.0
2625.0,-0.06000000000000005,7,112.0
2630.0,-0.3699999999999999,9,149.0
2635.0,0.26,3,123.0
2640.0,0.48,4,75.0
2645.0,-0.19999999999999996,7,95.0
2650.0,-0.40000000000000013,8,135.0
2655.0,0.5200000000000001,8,83.0
2660.0,-0.45000000000000007,10,128.0
2665.0,-0.3799999999999999,10,166.0
2670.0,-0.5000000000000002,10,216.0
2675.0,-0.5,10,266.0
2680.0,-0.6199999999999997,16,328.0
2685.0,-0.020000000000000018,12,330.0
2690.0,0.4099999999999997,12,289.0
2695.0,0.48,7,241.0
2700.0,0.9600000000000002,8,145.0
2705.0,-0.22999999999999998,11,168.0
2710.0,0.020000000000000018,11,166.0
2715.0,-0.6399999999999999,15,230.0
2720.0,-0.17000000000000037,14,247.0
2725.0,0.20000000000000018,12,227.0
2730.0,0.2400000000000002,9,203.0
2735.0,0.6799999999999997,6,135.0
2740.0,-0.029999999999999805,7,138.0
2745.0,-0.33000000000000007,9,171.0
2750.0,-0.040000000000000036,7,175.0
2755.0,-0.22999999999999998,11,198.0
2760.0,-0.3599999999999999,9,234.0
2765.0,-0.6100000000000003,13,295.0
2770.0,-0.33999999999999986,10,329.0
2775.0,-0.5099999999999998,12,380.0
2780.0,-0.6200000000000001,14,442.0
2785.0,-0.7400000000000002,16,516.0
2790.0,-0.9199999999999999,19,608.0
2795.0,-1.0,20,708.0
2800.0,-1.0500000000000007,22,813.0
2805.0,0.7000000000000011,18,743.0
2810.0,2.71,15,472.0
2815.0,0.3099999999999996,12,441.0
2820.0,1.04,9,337.0
2825.0,-0.48,18,385.0
2830.0,-1.0299999999999998,22,488.0
2835.0,-1.2400000000000002,26,612.0
2840.0,-0.3899999999999997,20,651.0
2845.0,-0.03000000000000025,20,654.0
2850.0,-0.8600000000000003,22,740.0
2855.0,-1.0999999999999996,22,850.0
2860.0,-1.2100000000000009,26,971.0
2865.0,-1.3899999999999988,28,1110.0
2870.0,0.5299999999999994,23,1057.0
2875.0,1.7300000000000004,19,884.0
2880.0,0.9299999999999997,20,791.0
2885.0,-0.7599999999999998,19,867.0
2890.0,-1.0,22,967.0
2895.0,-1.1999999999999993,26,1087.0
2900.0,-1.4300000000000015,30,1230.0
2905.0,-1.25,28,1355.0
2910.0,-1.4899999999999984,32,1504.0
2915.0,-1.6000000000000014,32,1664.0
2920.0,0.7300000000000004,30,1591.0
2925.0,2.83,20,1308.0
2930.0,4.25,15,883.0
2935.0,0.3699999999999992,10,846.0
2940.0,0.6500000000000012,13,781.0
2945.0,-0.7600000000000007,21,857.0
2950.0,-1.25,27,982.0
2955.0,-1.4900000000000002,31,1131.0
2960.0,-1.549999999999999,31,1286.0
2965.0,-1.67,35,1453.0
2970.0,-1.7599999999999998,36,1629.0
2975.0,-1.870000000000001,39,1816.0
2980.0,0.379999999999999,34,1778.0
2985.0,2.4000000000000004,25,1538.0
2990.0,-1.209999999999999,25,1659.0
2995.0,-1.2300000000000004,27,1782.0
3000.0,0.490000000000002,28,1733.0
3005.0,1.7399999999999984,27,1559.0
3010.0,1.9100000000000001,25,1368.0
3015.0,-0.9299999999999997,22,1461.0
3020.0,-1.1100000000000012,29,1572.0
3025.0,-0.5199999999999978,30,1624.0
3030.0,0.24999999999999822,24,1599.0
3035.0,-0.11000000000000121,24,1610.0
3040.0,-1.259999999999998,26,1736.0
3045.0,-1.5800000000000018,35,1894.0
3050.0,-1.7899999999999991,37,2073.0
3055.0,-1.379999999999999,33,2211.0
3060.0,-0.9000000000000021,30,2301.0
3065.0,1.8900000000000006,25,2112.0
3070.0,4.440000000000001,20,1668.0
3075.0,-0.9100000000000001,16,1759.0
3080.0,-0.870000000000001,19,1846.0
3085.0,1.6700000000000017,19,1679.0
3090.0,3.799999999999999,17,1299.0
3095.0,-0.20999999999999908,13,1320.0
3100.0,0.5,12,1270.0
3105.0,-0.8200000000000003,20,1352.0
3110.0,-1.3100000000000005,30,1483.0
3115.0,-1.700000000000001,34,1653.0
3120.0,0.8800000000000008,31,1565.0
3125.0,3.99,22,1166.0
3130.0,3.0,17,866.0
3135.0,0.10999999999999943,11,855.0
3140.0,0.46000000000000085,13,809.0
3145.0,1.2299999999999995,21,686.0
3150.0,-0.5999999999999996,29,746.0
3155.0,0.1299999999999999,26,733.0
